PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;4;1;28079004_1_38;2020;07;01;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00005;V;00005;V;00005;V;00004;V;00004;V;00004;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V
28;079;4;1;28079004_1_38;2020;07;02;00003;V;00004;V;00004;V;00004;V;00005;V;00005;V;00005;V;00006;V;00008;V;00006;V;00004;V;00004;V;00003;V;00003;V;00002;V;00002;V;00002;V;00003;V;00003;V;00002;V;00002;V;00003;V;00003;V;00004;V
28;079;4;1;28079004_1_38;2020;07;03;00004;V;00004;V;00004;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00004;V;00005;V;00005;V;00005;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00004;V
28;079;4;1;28079004_1_38;2020;07;04;00004;V;00004;V;00004;V;00004;V;00005;V;00005;V;00005;V;00005;V;00006;V;00006;V;00005;V;00005;V;00004;V;00005;V;00004;V;00003;V;00003;V;00002;V;00003;V;00003;V;00003;V;00003;V;00003;V;00004;V
28;079;4;1;28079004_1_38;2020;07;05;00004;V;00004;V;00004;V;00004;V;00004;V;00005;V;00005;V;00005;V;00005;V;00005;V;00004;V;00004;V;00004;V;00004;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00004;V
28;079;4;1;28079004_1_38;2020;07;06;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00005;V;00005;V;00005;V;00005;V;00004;V;00004;V;00003;V;00003;V;00003;V;00003;V;00003;V;00004;V;00003;V;00003;V;00003;V;00002;V;00003;V
28;079;4;1;28079004_1_38;2020;07;07;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00005;V;00006;V;00006;V;00005;V;00005;V;00004;V;00004;V;00003;V;00002;V;00003;V;00004;V;00004;V;00003;V;00002;V;00003;V;00003;V;00003;V;00003;V
28;079;4;1;28079004_1_38;2020;07;08;00003;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00005;V;00006;V;00005;V;00004;V;00005;V;00004;V;00003;V;00003;V;00004;V;00003;V;00004;V;00004;V;00003;V;00003;V;00003;V;00004;V;00004;V
28;079;4;1;28079004_1_38;2020;07;09;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00004;V;00003;V;00003;V;00002;V;00003;V;00003;V;00003;V;00003;V;00004;V;00004;V;00004;V;00005;V
28;079;4;1;28079004_1_38;2020;07;10;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00006;V;00005;V;00006;V;00005;V;00005;V;00004;V;00004;V;00003;V;00002;V;00002;V;00002;V;00003;V;00003;V;00003;V;00002;V;00003;V;00004;V
28;079;4;1;28079004_1_38;2020;07;11;00004;V;00004;V;00005;V;00005;V;00004;V;00005;V;00005;V;00005;V;00005;V;00005;V;00004;V;00004;V;00004;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00002;V;00003;V;00003;V;00003;V;00003;V
28;079;4;1;28079004_1_38;2020;07;12;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00005;V;00005;V;00004;V;00004;V;00003;V;00003;V;00003;V;00002;V;00002;V;00003;V;00003;V;00003;V;00003;V;00003;V;00004;V;00004;V
28;079;4;1;28079004_1_38;2020;07;13;00004;V;00004;V;00005;V;00004;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00004;V;00004;V;00004;V;00003;V;00003;V;00003;V;00002;V;00003;V;00003;V;00003;V;00003;V;00002;V;00003;V;00003;V
