"","cust_id","age","gender","create_date","case_record_type","case_source","status","complaint_reason","pending_call","time_to_resolution_min","need_replace","ProdCSAT","ServCSAT"
"1","2261",31,"u",2020-04-11,"issue","inbound","open","Unable to operate menu from remote","y",51,"FALSE",NA,NA
"2","7059",26,"u",2020-04-12,"issue","inbound","closed","Unable to operate menu from remote","n",83,"FALSE",NA,NA
"3","350",25,"f",2020-02-15,"issue","inbound","closed","Remote Keys get stuck","n",56,"FALSE",2,4
"4","537",41,"m",2020-01-25,"issue","inbound","closed incomplete","Unable to operate menu from remote","n",74,"FALSE",2,4
"5","4547",36,"u",2020-04-15,"issue","inbound","open","Cluttered with popup messages","y",56,"FALSE",NA,NA
"6","440",37,"f",2020-02-02,"issue","inbound","closed","WIFI connectivity breaks","n",54,"FALSE",NA,NA
"7","6016",35,"u",2020-04-08,"issue","inbound","closed","power chord does not tightly fit","n",5,"TRUE",2,4
"8","162",29,"u",2020-02-19,"issue","inbound","closed","Unable to operate menu from remote","n",81,"FALSE",3,4
"9","6389",30,"f",2020-01-21,"issue","inbound","closed","Unable to operate menu from remote","n",92,"FALSE",3,4
"10","2559",36,"f",2020-02-01,"issue","inbound","closed","Unable to operate menu from remote","n",74,"FALSE",NA,NA
"11","4894",43,"u",2020-04-02,"issue","inbound","closed","Unable to operate menu from remote","n",82,"FALSE",4,4
"12","2835",33,"m",2020-02-08,"issue","inbound","closed incomplete","App takes a long time to initialize","n",46,"FALSE",NA,NA
"13","652",33,"f",2020-03-24,"issue","inbound","closed","Forgot mobile app password","n",64,"FALSE",3,4
"14","6137",47,"f",2020-01-29,"issue","inbound","closed","Unable to operate menu from remote","n",69,"FALSE",NA,NA
"15","4036",37,"u",2020-03-23,"issue","inbound","closed incomplete","WIFI connectivity breaks","n",60,"FALSE",NA,NA
"16","1149",31,"u",2020-04-19,"issue","inbound","open","Remote Keys get stuck","y",67,"FALSE",3,5
"17","1775",45,"u",2020-01-08,"issue","inbound","closed incomplete","App takes a long time to initialize","n",74,"FALSE",4,4
"18","504",41,"f",2020-01-08,"issue","inbound","closed","Unable to connect the App to the device","n",53,"FALSE",2,3
"19","3016",29,"m",2020-01-31,"issue","inbound","closed incomplete","Remote Keys get stuck","n",40,"FALSE",2,4
"20","4598",36,"u",2020-03-04,"issue","inbound","closed","Temperature control not working","n",95,"FALSE",4,5
"21","623",34,"f",2020-01-02,"issue","inbound","closed","Motor noise from the system","n",52,"FALSE",3,4
"22","2150",37,"u",2020-03-22,"issue","inbound","closed","Cluttered with popup messages","n",66,"FALSE",3,3
"23","7269",32,"u",2020-04-14,"issue","inbound","closed","Cluttered with popup messages","n",98,"FALSE",4,4
"24","3263",37,"m",2020-04-20,"issue","inbound","closed","Remote Keys get stuck","n",44,"TRUE",2,4
"25","2323",31,"m",2020-02-25,"issue","inbound","closed","AC remote does not  work","n",61,"FALSE",NA,NA
"26","4268",34,"u",2020-03-13,"issue","inbound","closed","Motor noise from the system","n",75,"FALSE",3,5
"27","3531",41,"m",2020-01-15,"issue","inbound","closed incomplete","App takes a long time to initialize","n",42,"FALSE",NA,NA
"28","1591",34,"m",2020-01-24,"issue","inbound","closed","Unable to connect the App to the device","n",36,"FALSE",NA,NA
"29","6941",38,"m",2020-04-16,"issue","inbound","closed","Unable to operate menu from remote","n",61,"FALSE",NA,NA
"30","4654",22,"u",2020-02-29,"issue","inbound","closed","WIFI connectivity breaks","n",63,"FALSE",4,4
