email_subject,sendout_date,email_scope,description,total_email_sent,total_email_delivered,total_email_clicks,total_email_open,total_email_bounces,total_revenue,total_sessions,total_web_bounces,total_transactions,total_visitors,total_session_duration,total_pageviews,global_opt_in,gender,flag_unsubscribe,journeys_ids,users_ids
 ,2020-11-13,Campaign, ,1,1, , , , , , , , , , ,TRUE,u,FALSE,1,1
 ,2020-08-13,Campaign, ,1,1, , , , , , , , , , ,TRUE,f,FALSE,2,2
 ,2020-09-25,Campaign, ,1,1, , , , , , , , , , ,TRUE,m,FALSE,3,3
 ,2019-12-17,Campaign, ,1,1, , , , , , , , , , ,TRUE,m,FALSE,4,4
 ,2020-04-01,Campaign, ,1,1, , , , , , , , , , ,TRUE,u,FALSE,5,5
 ,2020-10-08,Campaign, ,1,1, , , , , , , , , , ,TRUE,m,FALSE,6,6
 ,2019-12-26,Campaign, ,1,1, , , , , , , , , , ,TRUE,u,FALSE,4,7
 ,2020-07-31,Campaign, ,1,1,0,1,0, , , , , , , ,TRUE,f,FALSE,7,8
 ,2020-08-13,Campaign, ,1,1, , , , , , , , , , ,TRUE,u,FALSE,2,9
 ,2020-09-14,Campaign, ,1,1, , , , , , , , , , , ,u,FALSE,8,10
 ,2020-11-05,Campaign, ,1,1, , , , , , , , , , ,TRUE,m,FALSE,9,11
 ,2020-05-03,Campaign, ,1,1, , , , , , , , , , , ,u,FALSE,10,12
 ,2020-08-13,Campaign, ,1,1, , , , , , , , , , ,TRUE,u,FALSE,2,13
 ,2020-10-27,Campaign, ,1,1, , , , , , , , , , ,TRUE,u,FALSE,11,14
 ,2020-08-22,Campaign, ,1,1,0,1,0, , , , , , , ,TRUE,m,FALSE,12,15
 ,2020-10-27,Campaign, ,1,1, , , , , , , , , , , ,u,FALSE,11,16
 ,2020-09-25,Campaign, ,1,1, , , , , , , , , , ,TRUE,u,FALSE,3,17
 ,2020-04-01,Campaign, ,1,1, , , , , , , , , , ,TRUE,u,FALSE,5,18
 ,2020-08-13,Campaign, ,1,1, , , , , , , , , , ,TRUE,f,FALSE,13,19
 ,2020-09-14,Campaign, ,1,1, , , , , , , , , , , ,u,FALSE,8,20
 ,2019-12-17,Campaign, ,1,1, , , , , , , , , , ,TRUE,m,FALSE,4,21
 ,2020-09-29,Campaign, ,1,1, , , , , , , , , , ,TRUE,u,FALSE,14,22
 ,2020-09-08,Campaign, ,1,1, , , , , , , , , , ,TRUE,u,FALSE,15,23
 ,2020-08-13,Campaign, ,1,1,0,1,0, , , , , , , ,TRUE,m,FALSE,2,24
 ,2020-10-27,Campaign, ,1,1, , , , , , , , , , ,TRUE,u,FALSE,11,25
 ,2020-10-13,Campaign, ,1,1, , , , , , , , , , ,TRUE,m,FALSE,14,26
 ,2020-06-18,Campaign, ,1,1, , , , , , , , , , ,TRUE,u,FALSE,16,27
 ,2020-11-05,Campaign, ,1,1, , , , , , , , , , ,TRUE,m,FALSE,9,28
 ,2020-11-24,Campaign, ,1,1,1,2,0, , , , , , , ,TRUE,m,FALSE,17,29
 ,2020-10-27,Campaign, ,1,1,1,1,0, , , , , , , ,TRUE,u,FALSE,17,30
 ,2020-10-22,Campaign, ,1,1, , , , , , , , , , ,TRUE,u,FALSE,18,31
 ,2020-09-01,Campaign, ,1,1, , , , , , , , , , ,TRUE,f,FALSE,15,32
 ,2020-06-12,Campaign, ,1,1,0,1,0, , , , , , , ,TRUE,m,FALSE,19,33
 ,2020-03-24,Campaign, ,1,1, , , , , , , , , , ,TRUE,f,FALSE,20,34
 ,2020-09-10,Campaign, ,1,1, , , , , , , , , , ,TRUE,m,FALSE,14,35
 ,2020-10-13,Campaign, ,1,1, , , , , , , , , , ,TRUE,u,FALSE,21,36
 ,2020-07-31,Campaign, ,1,1, , , , , , , , , , ,TRUE,u,FALSE,7,37
 ,2020-10-27,Campaign, ,1,1, , , , , , , , , , ,TRUE,m,FALSE,22,38
 ,2020-11-13,Campaign, ,1,1, , , , , , , , , , ,TRUE,u,FALSE,1,39
 ,2020-09-27,Campaign, ,1,1,0,2,0, , , , , , , ,TRUE,f,FALSE,23,40
 ,2020-08-27,Campaign, ,1,1, , , , , , , , , , ,TRUE,m,FALSE,15,41
 ,2020-11-27,Campaign, ,1,1, , , , , , , , , , ,TRUE,m,FALSE,24,42
 ,2020-09-14,Campaign, ,1,1,0,1,0, , , , , , , ,FALSE,u,FALSE,8,43
 ,2020-09-29,Campaign, ,1,1,0,1,0, , , , , , , ,TRUE,m,FALSE,25,44
 ,2020-08-07,Campaign, ,1,1, , , , , , , , , , ,TRUE,m,FALSE,26,45
 ,2020-08-13,Campaign, ,1,1, , , , , , , , , , ,TRUE,m,FALSE,27,46
 ,2020-11-13,Campaign, ,1,1, , , , , , , , , , ,TRUE,f,FALSE,1,47
 ,2020-10-27,Campaign, ,1,1, , , , , , , , , , ,TRUE,m,FALSE,22,48
 ,2020-11-05,Campaign, ,1,1, , , , , , , , , , ,TRUE,m,FALSE,9,49
 ,2020-10-27,Campaign, ,1,1, , , , , , , , , , ,TRUE,u,FALSE,11,50
 ,2020-05-03,Campaign, ,1,1, , , , , , , , , , ,TRUE,f,FALSE,10,51
 ,2020-09-14,Campaign, ,1,1, , , , , , , , , , ,TRUE,u,FALSE,8,52
 ,2020-10-27,Campaign, ,1,1, , , , , , , , , , ,TRUE,m,FALSE,22,53
 ,2020-08-13,Campaign, ,1,1,0,1,0, , , , , , , ,TRUE,f,FALSE,13,54
 ,2020-09-14,Campaign, ,1,1,0,2,0, , , , , , , , ,u,FALSE,8,55
 ,2020-06-04,Campaign, ,1,1, , , , , , , , , , ,TRUE,f,FALSE,28,56
 ,2020-06-18,Campaign, ,1,1,0,1,0, , , , , , , ,TRUE,u,FALSE,29,57
 ,2020-09-14,Campaign, ,1,1,0,2,0, , , , , , , ,TRUE,u,FALSE,8,58
 ,2020-02-13,Campaign, ,1,1, , , , , , , , , , ,TRUE,f,FALSE,30,59
 ,2020-10-28,Campaign, ,1,1, , , , , , , , , , ,TRUE,u,FALSE,31,60
 ,2020-10-27,Campaign, ,1,1,0,1,0, , , , , , , ,TRUE,m,FALSE,22,61
 ,2020-05-27,Campaign, ,1,1, , , , , , , , , , ,TRUE,m,FALSE,27,62
 ,2020-08-07,Campaign, ,1,1, , , , , , , , , , ,TRUE,m,FALSE,26,63
 ,2020-11-05,Campaign, ,1,1,0,1,0, , , , , , , ,TRUE,m,FALSE,9,64
 ,2020-10-08,Campaign, ,1,1, , , , , , , , , , ,TRUE,m,FALSE,6,65
 ,2020-05-28,Campaign, ,1,1, , , , , , , , , , ,TRUE,m,FALSE,32,66
 ,2020-08-13,Campaign, ,1,1, , , , , , , , , , ,TRUE,u,FALSE,2,67
 ,2020-09-14,Campaign, ,1,1,0,2,0, , , , , , , ,TRUE,u,FALSE,8,68
 ,2020-09-25,Campaign, ,1,1, , , , , , , , , , ,TRUE,m,FALSE,3,69
 ,2020-05-01,Campaign, ,1,1,0,1,0, , , , , , , ,TRUE,u,FALSE,10,70
 ,2020-02-06,Campaign, ,1,1, , , , , , , , , , ,TRUE,m,FALSE,27,71
 ,2020-06-04,Campaign, ,1,1, , , , , , , , , , ,TRUE,m,FALSE,28,72
 ,2020-10-27,Campaign, ,1,1, , , , , , , , , , ,TRUE,m,FALSE,22,73
 ,2020-09-01,Campaign, ,1,1, , , , , , , , , , ,TRUE,u,FALSE,17,74
 ,2019-12-26,Campaign, ,1,1,0,1,0, , , , , , , ,TRUE,m,FALSE,33,75
 ,2020-09-14,Campaign, ,1,1, , , , , , , , , , ,TRUE,u,FALSE,8,76
 ,2020-09-14,Campaign, ,1,1, , , , , , , , , , , ,u,FALSE,8,77
 ,2020-08-22,Campaign, ,1,1, , , , , , , , , , ,TRUE,f,FALSE,12,78
 ,2020-04-01,Campaign, ,1,1, , , , , , , , , , ,TRUE,m,FALSE,5,79
 ,2020-09-08,Campaign, ,1,1, , , , , , , , , , ,TRUE,m,FALSE,15,80
 ,2020-09-14,Campaign, ,1,1,0,1,0, , , , , , , ,TRUE,m,FALSE,8,81
 ,2020-04-09,Campaign, ,1,1,0,1,0, , , , , , , ,TRUE,u,FALSE,34,82
 ,2020-09-27,Campaign, ,1,1, , , , , , , , , , ,TRUE,u,FALSE,14,83
 ,2020-08-14,Campaign, ,1,1, , , , , , , , , , ,TRUE,m,FALSE,14,84
 ,2020-09-14,Campaign, ,1,1, , , , , , , , , , ,TRUE,u,FALSE,8,85
 ,2020-06-04,Campaign, ,1,1, , , , , , , , , , ,TRUE,m,FALSE,28,86
 ,2020-03-11,Campaign, ,1,1, , , , , , , , , , ,TRUE,u,FALSE,14,87
 ,2020-09-14,Campaign, ,1,1,0,1,0, , , , , , , ,TRUE,u,FALSE,8,88
 ,2019-12-17,Campaign, ,1,1,0,1,0, , , , , , , ,TRUE,u,FALSE,4,82
 ,2020-09-14,Campaign, ,1,1, , , , , , , , , , ,TRUE,u,FALSE,8,89
 ,2020-09-25,Campaign, ,1,1,0,1,0, , , , , , , ,TRUE,m,FALSE,3,90
 ,2020-10-13,Campaign, ,1,1, , , , , , , , , , ,TRUE,f,FALSE,21,91
 ,2020-11-13,Campaign, ,1,1, , , , , , , , , , ,TRUE,u,FALSE,1,92
 ,2020-05-07,Campaign, ,1,1, , , , , , , , , , ,TRUE,u,FALSE,35,93
 ,2020-04-30,Campaign, ,1,1, , , , , , , , , , ,TRUE,f,FALSE,36,94
 ,2020-08-08,Campaign, ,1,1, , , , , , , , , , ,TRUE,m,FALSE,26,95
 ,2020-11-05,Campaign, ,1,1, , , , , , , , , , ,TRUE,u,FALSE,9,96
 ,2020-04-09,Campaign, ,1,1,0,1,0, , , , , , , ,TRUE,u,FALSE,34,97
 ,2020-11-27,Campaign, ,1,1, , , , , , , , , , ,TRUE,m,FALSE,24,28
 ,2020-10-08,Campaign, ,1,1, , , , , , , , , , ,TRUE,m,FALSE,6,98
 ,2020-09-25,Campaign, ,1,1,0,1,0, , , , , , , ,TRUE,m,FALSE,3,99
 ,2020-11-27,Campaign, ,1,1, , , , , , , , , , ,TRUE,m,FALSE,24,100
 ,2020-09-20,Campaign, ,1,1, , , , , , , , , , ,TRUE,f,FALSE,15,101
 ,2020-10-30,Campaign, ,1,1, , , , , , , , , , ,TRUE,u,FALSE,37,102
 ,2020-07-04,Campaign, ,1,1, , , , , , , , , , ,TRUE,f,FALSE,38,103
 ,2020-08-07,Campaign, ,1,1, , , , , , , , , , ,TRUE,f,FALSE,26,104
 ,2020-04-29,Campaign, ,1,1,0,1,0, , , , , , , ,TRUE,m,FALSE,39,105
 ,2020-11-15,Campaign, ,1,1,0,2,0, , , , , , , ,TRUE,m,FALSE,40,106
 ,2020-07-28,Campaign, ,1,1,0,2,0, , , , , , , ,TRUE,m,FALSE,41,107
 ,2020-04-09,Campaign, ,1,1, , , , , , , , , , ,TRUE,f,FALSE,34,108
 ,2020-11-05,Campaign, ,1,1, , , , , , , , , , ,TRUE,u,FALSE,9,109
 ,2020-04-09,Campaign, ,1,1,0,1,0, , , , , , , ,TRUE,m,FALSE,34,110
 ,2020-07-31,Campaign, ,1,1, , , , , , , , , , ,TRUE,m,FALSE,7,62
 ,2020-07-31,Campaign, ,1,1, , , , , , , , , , ,TRUE,f,FALSE,7,111
 ,2020-04-09,Campaign, ,1,1,0,1,0, , , , , , , ,TRUE,f,FALSE,34,112
 ,2020-11-05,Campaign, ,1,1, , , , , , , , , , ,TRUE,u,FALSE,9,113
 ,2020-11-05,Campaign, ,1,1, , , , , , , , , , ,TRUE,u,FALSE,9,114
 ,2020-04-01,Campaign, ,1,1,0,1,0, , , , , , , ,TRUE,m,FALSE,5,115
 ,2020-04-23,Campaign, ,1,1, , , , , , , , , , ,TRUE,m,FALSE,42,116
 ,2020-09-25,Campaign, ,1,1,0,1,0, , , , , , , ,TRUE,f,FALSE,3,91
 ,2020-08-13,Campaign, ,1,1, , , , , , , , , , ,TRUE,u,FALSE,2,117
 ,2020-01-26,Campaign, ,1,1, , , , , , , , , , ,TRUE,u,FALSE,14,118
 ,2020-01-14,Campaign, ,1,1,0,3,0, , , , , , , ,TRUE,f,FALSE,14,119
