"","id_member","fecha_compra","gasto","store","nps"
"1",3379,2020-01-01,80,"tienda_4"," "
"2",5080,2020-01-01,62,"tienda_3"," "
"3",2056,2020-01-01,62,"tienda_3","8"
"4",3892,2020-01-01,50,"tienda_3"," "
"5",1894,2020-01-01,53,"tienda_3","5"
"6",5269,2020-01-01,62,"tienda_1"," "
"7",4270,2020-01-01,62,"tienda_5","6"
"8",5431,2020-01-01,35,"tienda_2","8"
"9",1597,2020-01-01,83,"tienda_1","7"
"10",4675,2020-01-01,65,"tienda_5"," "
"11",2029,2020-01-01,62,"tienda_4","9"
"12",3406,2020-01-01,50,"tienda_3"," "
"13",4864,2020-01-01,71,"tienda_2","9"
"14",5026,2020-01-01,83,"tienda_5","9"
"15",5269,2020-01-01,41,"tienda_4","10"
"16",3919,2020-01-01,71,"tienda_5"," "
"17",4810,2020-01-01,71,"tienda_5","8"
"18",4918,2020-01-01,47,"tienda_3","7"
"19",4810,2020-01-01,53,"tienda_4","7"
"20",3595,2020-01-01,65,"tienda_2","8"
"21",1867,2020-01-01,86,"tienda_3","10"
"22",5242,2020-01-01,127,"tienda_4","8"
"23",1516,2020-01-01,155,"tienda_2"," "
"24",5107,2020-01-01,107,"tienda_2"," "
"25",5242,2020-01-01,171,"tienda_5"," "
"26",4864,2020-01-01,123,"tienda_3"," "
"27",1435,2020-01-01,175,"tienda_5"," "
"28",3136,2020-01-01,175,"tienda_1"," "
"29",3892,2020-01-01,127,"tienda_5","7"
"30",2515,2020-01-01,119,"tienda_5"," "
"31",2029,2020-01-01,147,"tienda_3"," "
"32",4081,2020-01-01,167,"tienda_4","7"
"33",2380,2020-01-01,111,"tienda_3","9"
"34",4621,2020-01-01,139,"tienda_1","7"
"35",3838,2020-01-01,175,"tienda_1"," "
"36",3271,2020-01-01,143,"tienda_2","7"
"37",2785,2020-01-01,171,"tienda_2","7"
"38",4459,2020-01-01,175,"tienda_3","6"
"39",1624,2020-01-01,147,"tienda_3","7"
"40",2866,2020-01-01,147,"tienda_1","7"
"41",4054,2020-01-01,119,"tienda_1","9"
"42",4459,2020-01-01,119,"tienda_1","6"
"43",4243,2020-01-01,135,"tienda_1"," "
"44",3784,2020-01-01,231,"tienda_2","7"
"45",4486,2020-01-01,267,"tienda_1"," "
"46",2299,2020-01-01,127,"tienda_3"," "
"47",2731,2020-01-01,267,"tienda_5","5"
"48",1786,2020-01-01,99,"tienda_4"," "
"49",4918,2020-01-01,167,"tienda_5","6"
"50",5431,2020-01-01,259,"tienda_1"," "
"51",2461,2020-01-01,115,"tienda_3","10"
"52",5404,2020-01-01,167,"tienda_1","10"
"53",1732,2020-01-01,163,"tienda_3"," "
"54",3055,2020-01-01,155,"tienda_1","6"
"55",5161,2020-01-01,231,"tienda_3","10"
"56",4837,2020-01-01,191,"tienda_1","7"
"57",3838,2020-01-01,203,"tienda_2","9"
"58",4135,2020-01-01,139,"tienda_4"," "
"59",1840,2020-01-01,243,"tienda_2","8"
"60",2623,2020-01-02,38,"tienda_2","6"
"61",3136,2020-01-02,77,"tienda_1","10"
"62",1975,2020-01-02,74,"tienda_3","8"
"63",5188,2020-01-02,68,"tienda_1","8"
"64",4945,2020-01-02,83,"tienda_5","8"
"65",2920,2020-01-02,56,"tienda_2"," "
"66",3757,2020-01-02,62,"tienda_3","7"
"67",4513,2020-01-02,50,"tienda_4","7"
"68",4945,2020-01-02,86,"tienda_1"," "
"69",1516,2020-01-02,32,"tienda_1","9"
"70",1867,2020-01-02,86,"tienda_2"," "
"71",4270,2020-01-02,83,"tienda_2"," "
"72",5134,2020-01-02,38,"tienda_3","10"
"73",4351,2020-01-02,59,"tienda_1","6"
"74",2029,2020-01-02,86,"tienda_5","9"
"75",3514,2020-01-02,41,"tienda_1"," "
"76",2245,2020-01-02,80,"tienda_3","8"
"77",4810,2020-01-02,53,"tienda_2","10"
"78",3514,2020-01-02,68,"tienda_2","10"
"79",3460,2020-01-02,29,"tienda_5","7"
"80",1651,2020-01-02,71,"tienda_1"," "
"81",5242,2020-01-02,53,"tienda_5"," "
"82",2002,2020-01-02,62,"tienda_3","10"
"83",5458,2020-01-02,62,"tienda_3"," "
"84",3676,2020-01-02,35,"tienda_5","10"
"85",4108,2020-01-02,147,"tienda_2","7"
"86",1435,2020-01-02,107,"tienda_3","5"
"87",4135,2020-01-02,127,"tienda_5","9"
"88",3568,2020-01-02,155,"tienda_1","9"
"89",3082,2020-01-02,131,"tienda_4","5"
"90",4648,2020-01-02,111,"tienda_5","10"
"91",4486,2020-01-02,131,"tienda_1","7"
"92",1732,2020-01-02,155,"tienda_1"," "
"93",3784,2020-01-02,159,"tienda_2","5"
"94",4972,2020-01-02,171,"tienda_1","6"
"95",3649,2020-01-02,123,"tienda_4","9"
"96",2002,2020-01-02,135,"tienda_5","9"
"97",3001,2020-01-02,115,"tienda_3","7"
"98",3568,2020-01-02,119,"tienda_5","5"
"99",3649,2020-01-02,147,"tienda_1"," "
"100",4000,2020-01-02,163,"tienda_1","8"
"101",3271,2020-01-02,127,"tienda_2","6"
"102",4918,2020-01-02,107,"tienda_2"," "
"103",2380,2020-01-02,159,"tienda_2","7"
"104",5404,2020-01-02,127,"tienda_2","10"
"105",3892,2020-01-02,107,"tienda_1","10"
"106",2083,2020-01-02,147,"tienda_4","6"
"107",4621,2020-01-02,155,"tienda_4","8"
"108",4918,2020-01-02,131,"tienda_2","7"
"109",4108,2020-01-02,115,"tienda_3","10"
"110",2515,2020-01-02,171,"tienda_4","7"
"111",3946,2020-01-02,135,"tienda_3","7"
"112",4270,2020-01-02,167,"tienda_3"," "
"113",4621,2020-01-02,103,"tienda_5","6"
"114",4000,2020-01-02,151,"tienda_5","10"
"115",3703,2020-01-02,131,"tienda_4"," "
"116",5269,2020-01-02,163,"tienda_1"," "
"117",4081,2020-01-02,139,"tienda_1","7"
"118",1975,2020-01-02,135,"tienda_5"," "
"119",3379,2020-01-02,151,"tienda_3","6"
"120",3703,2020-01-02,159,"tienda_2","7"
"121",3595,2020-01-02,163,"tienda_1","7"
"122",3676,2020-01-02,135,"tienda_5","9"
"123",3892,2020-01-02,135,"tienda_5"," "
"124",2083,2020-01-02,239,"tienda_1","7"
"125",4189,2020-01-02,219,"tienda_3","10"
"126",4972,2020-01-02,243,"tienda_3","6"
"127",4081,2020-01-02,127,"tienda_1","10"
"128",4594,2020-01-02,131,"tienda_3","6"
"129",2191,2020-01-02,183,"tienda_2","6"
"130",5215,2020-01-02,247,"tienda_5","6"
"131",3217,2020-01-02,111,"tienda_5","7"
"132",4783,2020-01-02,255,"tienda_5","6"
"133",4540,2020-01-02,191,"tienda_2","6"
"134",3460,2020-01-02,231,"tienda_4","9"
"135",3136,2020-01-02,99,"tienda_5","6"
"136",2839,2020-01-02,247,"tienda_2","9"
"137",1435,2020-01-02,227,"tienda_1","7"
"138",2650,2020-01-02,167,"tienda_1","9"
"139",4297,2020-01-02,131,"tienda_5","6"
"140",2596,2020-01-02,271,"tienda_2","8"
"141",5161,2020-01-02,135,"tienda_5"," "
"142",2677,2020-01-02,175,"tienda_5","6"
"143",5161,2020-01-03,47,"tienda_4","10"
"144",2704,2020-01-03,47,"tienda_2","5"
"145",2434,2020-01-03,56,"tienda_1","9"
"146",3784,2020-01-03,80,"tienda_5","7"
"147",5269,2020-01-03,32,"tienda_1","7"
"148",4891,2020-01-03,77,"tienda_5","6"
"149",2137,2020-01-03,47,"tienda_1","9"
"150",3109,2020-01-03,47,"tienda_4","6"
"151",4918,2020-01-03,56,"tienda_2","7"
"152",3028,2020-01-03,68,"tienda_1","9"
"153",4837,2020-01-03,44,"tienda_2"," "
"154",4135,2020-01-03,29,"tienda_2"," "
"155",4729,2020-01-03,56,"tienda_5","10"
"156",5026,2020-01-03,29,"tienda_3","7"
"157",4567,2020-01-03,83,"tienda_4","10"
"158",3406,2020-01-03,59,"tienda_1","7"
"159",5161,2020-01-03,47,"tienda_1","7"
"160",4135,2020-01-03,47,"tienda_4"," "
"161",1624,2020-01-03,35,"tienda_4"," "
"162",4810,2020-01-03,62,"tienda_3","10"
"163",1948,2020-01-03,29,"tienda_3","10"
"164",3244,2020-01-03,50,"tienda_1","7"
"165",1651,2020-01-03,159,"tienda_3","6"
"166",1543,2020-01-03,127,"tienda_5"," "
"167",4405,2020-01-03,127,"tienda_2"," "
"168",2002,2020-01-03,139,"tienda_3","10"
"169",2650,2020-01-03,159,"tienda_1","9"
"170",1867,2020-01-03,123,"tienda_1"," "
"171",4675,2020-01-03,131,"tienda_2"," "
"172",5161,2020-01-03,123,"tienda_4"," "
"173",4540,2020-01-03,143,"tienda_3"," "
"174",4351,2020-01-03,135,"tienda_3","5"
"175",3352,2020-01-03,139,"tienda_2","8"
"176",2056,2020-01-03,123,"tienda_5","6"
"177",1840,2020-01-03,147,"tienda_4","5"
"178",4135,2020-01-03,167,"tienda_1","7"
"179",2191,2020-01-03,155,"tienda_4","7"
"180",4756,2020-01-03,155,"tienda_2","5"
"181",3190,2020-01-03,151,"tienda_5","8"
"182",2272,2020-01-03,115,"tienda_5"," "
"183",2677,2020-01-03,151,"tienda_3","10"
"184",2785,2020-01-03,123,"tienda_5","8"
"185",3352,2020-01-03,127,"tienda_2","10"
"186",3595,2020-01-03,175,"tienda_3","8"
"187",3622,2020-01-03,119,"tienda_5"," "
"188",3892,2020-01-03,143,"tienda_3","10"
"189",3298,2020-01-03,123,"tienda_1"," "
"190",2650,2020-01-03,143,"tienda_3","6"
"191",2812,2020-01-03,155,"tienda_3","7"
"192",5350,2020-01-03,127,"tienda_2","9"
"193",4621,2020-01-03,127,"tienda_2","9"
"194",4648,2020-01-03,215,"tienda_2","10"
"195",4189,2020-01-03,203,"tienda_3","8"
"196",2353,2020-01-03,103,"tienda_1"," "
"197",3649,2020-01-03,187,"tienda_1","7"
"198",1651,2020-01-03,155,"tienda_2","7"
"199",5026,2020-01-03,111,"tienda_5","10"
"200",1489,2020-01-03,255,"tienda_4"," "
"201",3919,2020-01-03,187,"tienda_1","9"
"202",2083,2020-01-03,203,"tienda_1","6"
"203",3433,2020-01-03,215,"tienda_5","6"
