"","id_member","fecha_compra","gasto","store","nps"
"1",462,2020-01-01,77,"tienda_4","10"
"2",2190,2020-01-01,41,"tienda_4","10"
"3",1893,2020-01-01,35,"tienda_2","10"
"4",1974,2020-01-01,71,"tienda_3","7"
"5",1461,2020-01-01,80,"tienda_4"," "
"6",2082,2020-01-01,83,"tienda_3"," "
"7",651,2020-01-01,32,"tienda_4","7"
"8",867,2020-01-01,59,"tienda_5","8"
"9",2001,2020-01-01,41,"tienda_4","8"
"10",759,2020-01-01,74,"tienda_5"," "
"11",1974,2020-01-01,65,"tienda_3","10"
"12",1110,2020-01-01,50,"tienda_5","7"
"13",1110,2020-01-01,65,"tienda_2","7"
"14",1596,2020-01-01,111,"tienda_4"," "
"15",435,2020-01-01,163,"tienda_1","10"
"16",2082,2020-01-01,131,"tienda_1","10"
"17",2406,2020-01-01,111,"tienda_3","7"
"18",1866,2020-01-01,107,"tienda_5","10"
"19",759,2020-01-01,127,"tienda_5","10"
"20",1245,2020-01-01,143,"tienda_2","10"
"21",2298,2020-01-01,159,"tienda_2","5"
"22",732,2020-01-01,175,"tienda_3","10"
"23",1326,2020-01-01,107,"tienda_1","5"
"24",1974,2020-01-01,111,"tienda_1","8"
"25",2082,2020-01-01,167,"tienda_4"," "
"26",1974,2020-01-01,147,"tienda_2","9"
"27",1947,2020-01-01,151,"tienda_5","6"
"28",2352,2020-01-01,175,"tienda_5","7"
"29",786,2020-01-01,159,"tienda_1"," "
"30",2055,2020-01-01,131,"tienda_5","7"
"31",2136,2020-01-01,147,"tienda_5","6"
"32",2325,2020-01-01,191,"tienda_3","10"
"33",1866,2020-01-01,235,"tienda_4","8"
"34",840,2020-01-01,271,"tienda_2","10"
"35",1326,2020-01-01,271,"tienda_2"," "
"36",1245,2020-01-01,211,"tienda_3","7"
"37",1407,2020-01-01,147,"tienda_2"," "
"38",1947,2020-01-01,227,"tienda_5","8"
"39",1596,2020-01-01,179,"tienda_2"," "
"40",1164,2020-01-01,143,"tienda_5","6"
"41",1353,2020-01-01,243,"tienda_3","7"
"42",489,2020-01-01,231,"tienda_4","6"
"43",1218,2020-01-01,267,"tienda_4","6"
"44",570,2020-01-01,211,"tienda_2","7"
"45",597,2020-01-01,247,"tienda_1","10"
"46",1785,2020-01-01,143,"tienda_1","5"
"47",1461,2020-01-01,219,"tienda_2","10"
"48",786,2020-01-02,80,"tienda_5","7"
"49",732,2020-01-02,59,"tienda_5","10"
"50",813,2020-01-02,44,"tienda_3"," "
"51",2379,2020-01-02,71,"tienda_5","7"
"52",2244,2020-01-02,41,"tienda_4"," "
"53",678,2020-01-02,80,"tienda_5","7"
"54",732,2020-01-02,80,"tienda_1","6"
"55",1380,2020-01-02,47,"tienda_4","10"
"56",1218,2020-01-02,35,"tienda_3","8"
"57",624,2020-01-02,47,"tienda_4","8"
"58",1893,2020-01-02,59,"tienda_5","8"
"59",1218,2020-01-02,155,"tienda_2","6"
"60",2109,2020-01-02,103,"tienda_3","8"
"61",2379,2020-01-02,167,"tienda_5","10"
"62",1299,2020-01-02,139,"tienda_4","5"
"63",1758,2020-01-02,147,"tienda_2"," "
"64",894,2020-01-02,103,"tienda_4","10"
"65",1218,2020-01-02,159,"tienda_2","8"
"66",1704,2020-01-02,111,"tienda_5"," "
"67",948,2020-01-02,111,"tienda_2"," "
"68",2109,2020-01-02,131,"tienda_2","8"
"69",651,2020-01-02,115,"tienda_2","7"
"70",732,2020-01-02,147,"tienda_5","8"
"71",597,2020-01-02,127,"tienda_4","6"
"72",1542,2020-01-02,163,"tienda_3","8"
"73",1920,2020-01-02,119,"tienda_4","6"
"74",516,2020-01-02,115,"tienda_5","9"
"75",1380,2020-01-02,107,"tienda_5","6"
"76",1461,2020-01-02,191,"tienda_5","10"
"77",921,2020-01-02,243,"tienda_2"," "
"78",894,2020-01-02,247,"tienda_4","9"
"79",435,2020-01-02,243,"tienda_3","6"
"80",1137,2020-01-02,183,"tienda_1","8"
"81",948,2020-01-02,175,"tienda_3","10"
"82",1974,2020-01-02,175,"tienda_2","10"
"83",1704,2020-01-02,199,"tienda_4","5"
"84",867,2020-01-02,99,"tienda_4"," "
"85",2379,2020-01-02,167,"tienda_5"," "
"86",2055,2020-01-02,175,"tienda_2","8"
"87",1002,2020-01-02,119,"tienda_5","6"
"88",1623,2020-01-02,247,"tienda_5","5"
"89",1191,2020-01-02,175,"tienda_4","7"
"90",2109,2020-01-02,191,"tienda_5","10"
"91",516,2020-01-02,163,"tienda_2","5"
"92",1353,2020-01-02,127,"tienda_3","7"
"93",705,2020-01-02,151,"tienda_5","6"
"94",1866,2020-01-02,247,"tienda_2","7"
"95",1407,2020-01-03,41,"tienda_3","6"
"96",1461,2020-01-03,56,"tienda_3"," "
"97",1677,2020-01-03,68,"tienda_5","6"
"98",435,2020-01-03,56,"tienda_1","6"
"99",1974,2020-01-03,47,"tienda_3"," "
"100",1515,2020-01-03,56,"tienda_2","6"
"101",2190,2020-01-03,32,"tienda_1","9"
"102",1056,2020-01-03,38,"tienda_4","7"
"103",489,2020-01-03,29,"tienda_3","7"
"104",1758,2020-01-03,65,"tienda_1","7"
"105",2028,2020-01-03,38,"tienda_1","7"
"106",2163,2020-01-03,171,"tienda_4","10"
"107",1812,2020-01-03,107,"tienda_3","6"
"108",2055,2020-01-03,167,"tienda_5","9"
"109",1110,2020-01-03,107,"tienda_4","7"
"110",1785,2020-01-03,127,"tienda_2","9"
"111",1461,2020-01-03,115,"tienda_5","7"
"112",1218,2020-01-03,151,"tienda_1","10"
"113",2136,2020-01-03,159,"tienda_4","5"
"114",1083,2020-01-03,167,"tienda_2","5"
"115",1893,2020-01-03,135,"tienda_2","5"
"116",1029,2020-01-03,111,"tienda_1","10"
"117",543,2020-01-03,131,"tienda_4"," "
"118",1218,2020-01-03,131,"tienda_5","7"
"119",2028,2020-01-03,115,"tienda_2","9"
