id	Edad	Sexo	CarnetConducir	AreaTrabajo	FluidezVerbalEspanol	FluidezVerbalIngles	TR_ovejas	TR_semaforo	Videojuegos	FrecuenciaAlcohol	UnidadesAlcohol	NotaEsperada	Nota_PAU	a	b	c	d	e	f	g	h	i	j	k	l	TR_ovejas_agrupado
4	18	1	2	4	14	10	,3	,2	2	3	2	7	6,54	2	3	3	4	2	2	4	5	4	3	4	3	3
3	21	1	2	1	9	3	,1624	,2242	1	2	2	8	5,4	4	5	1	3	2	2	3	5	5	3	4	2	2
5	18	1	2	3	7	4	,262	,2875	1	2	2	6	5,22	3	4	4	3	3	5	5	5	5	5	5	4	3
6	17	1	2	3	9	7	,2616	,24	2	2	2	7	4,16	3	2	4	2	3	1	1	5	2	4	4	3	3
7	17	1	2	2	14	4	,2506	,2162	1	1	0	5	7,81	3	2	2	2	3	3	4	4	4	4	3	3	3
8	18	1	2	1	10	2	,2244	,241	1	1	0	7	5,6	2	2	1	1	3	1	3	5	5	4	5	2	2
9	19	1	2	3	9	3	,2612	,2533	2	2	1	7	5,44	3	2	2	3	2	1	4	5	3	3	4	4	3
10	19	2	2	1	16	3	,2374	,2307	2	3	3	7	5,38	2	2	1	4	2	1	1	5	5	4	5	5	3
11	18	1	2	2	12	3	,8142	,2488	2	3	2	6	5,5	4	3	3	4	3	3	4	5	3	4	4	4	8
12	18	1	2	1	8	8	,903	,5042	1	1	0	7	6,14	1	3	2	2	4	1	3	5	4	3	4	4	9
13	47	1	1	1	13	10	,2756	,2675	2	3	1	7	7,09	3	5	1	2	2	1	2	5	4	4	4	4	3
14	22	1	1	3	11	6	,2376	,2312	2	2	1	6	6	1	5	2	3	4	3	2	4	4	4	2	4	3
15	22	1	1	3	4	3	,2872	,3818	1	3	2	6	8,1	2	1	2	5	5	1	1	4	3	4	5	1	3
16	22	1	1	4	13	4	,237	,2164	2	4	1	7	5,8	2	2	3	3	1	2	3	3	4	3	3	3	3
17	24	1	1	3	11	3	,2002	,2312	1	2	2	6	6,42	1	2	1	2	1	1	4	5	5	4	5	5	2
18	18	1	2	4	8	4	,2622	,2419	1	3	2	5	5,55	3	2	3	4	2	2	3	4	4	4	2	4	3
19	21	1	2	3	9	3	,2754	,496	1	2	2	7	3,99	2	2	1	2	1	1	4	5	4	3	4	1	3
20	21	1	1	3	14	5	,2128	,2271	2	3	2	5	5	1	3	2	4	3	2	2	5	5	4	4	5	2
21	24	1	1	3	11	2	,2254	,2432	1	3	3	6	5,3	3	2	2	3	4	2	5	5	5	3	2	5	2
