Anio;Mes;Oil;Ivy
2020;mar-20;0;220
2020;abr-20;0;208
2020;may-20;0;187
2020;jun-20;0;168
2020;jul-20;0;155
2020;ago-20;0;146
2020;sep-20;0;139
2020;oct-20;0;133
2020;nov-20;0;127
2020;dic-20;0;122
2021;ene-21;0;118
2021;feb-21;0;113
2021;mar-21;0;109
2021;abr-21;0;106
2021;may-21;0;102
2021;jun-21;0;99
2021;jul-21;0;96
2021;ago-21;0;93
2021;sep-21;0;90
2021;oct-21;0;88
2021;nov-21;0;84
2021;dic-21;0;83
2022;ene-22;0;80
2022;feb-22;0;77
2022;mar-22;0;76
2022;abr-22;0;74
2022;may-22;0;72
2022;jun-22;0;69
2022;jul-22;0;69
2022;ago-22;0;66
2022;sep-22;0;65
2022;oct-22;0;63
2022;nov-22;0;62
2022;dic-22;0;61
2023;ene-23;0;59
2023;feb-23;0;58
2023;mar-23;0;57
2023;abr-23;0;55
2023;may-23;0;54
2023;jun-23;0;53
2023;jul-23;0;51
2023;ago-23;0;51
2023;sep-23;0;49
2023;oct-23;0;49
2023;nov-23;0;47
2023;dic-23;0;47
2024;ene-24;0;45
2024;feb-24;0;44
2024;mar-24;0;43
2024;abr-24;0;43
2024;may-24;0;41
2024;jun-24;0;41
2024;jul-24;0;40
2024;ago-24;0;40
2024;sep-24;0;38
2024;oct-24;0;38
2024;nov-24;0;37
2024;dic-24;0;37
2025;ene-25;0;35
2025;feb-25;0;35
2025;mar-25;0;34
2025;abr-25;0;34
2025;may-25;0;33
2025;jun-25;0;33
2025;jul-25;0;32
2025;ago-25;0;32
2025;sep-25;0;31
2025;oct-25;0;30
2025;nov-25;0;30
2025;dic-25;0;29
2026;ene-26;0;28
2026;feb-26;0;28
2026;mar-26;0;27
2026;abr-26;0;27
2026;may-26;0;27
2026;jun-26;0;27
2026;jul-26;0;26
2026;ago-26;0;26
2026;sep-26;0;25
2026;oct-26;0;25
2026;nov-26;0;24
2026;dic-26;0;24
2027;ene-27;0;24
2027;feb-27;0;23
2027;mar-27;0;23
