Date,Security,Action,Quantity,Price,Total
2019-10-31,MMM,Deposit,1,168.37,168.37
2019-11-01,ABT,Deposit,2,83.61,167.22
2019-11-02,ABBV,Buy,3,81.75,245.25
2019-11-05,ATVI,Deposit,5,55.71,278.55
2019-11-06,ADBE,Buy,10,289.29,2892.9
2019-11-07,AMD,Deposit,23,35.93,826.39
2019-11-08,AAP,Deposit,46,169.28,7786.88
2019-11-09,AES,Deposit,63,17.64,1111.32
2019-11-12,APD,Buy,81,235.03,19037.43
2019-11-13,AKAM,Deposit,64,84.72,5422.08
2019-11-14,ALK,Buy,23,70.52,1621.96
2019-11-15,ALB,Deposit,14,65.54,917.56
2019-11-16,ARE,Deposit,77,158.76,12224.52
2019-11-19,ALLE,Buy,32,118.41,3789.12
2019-11-20,LNT,Buy,57,52.58,2997.06
2019-11-21,ALL,Deposit,4,110.4,441.6
2019-11-22,GOOGL,Buy,18,1300.14,23402.52
2019-11-23,GOOG,Deposit,46,1295.34,59585.64
2019-11-26,AMCR,Buy,91,10.11,920.01
2019-11-27,AEE,Buy,26,74.13,1927.38
2019-11-28,AAL,Buy,28,28.95,810.6
2019-11-30,AXP,Buy,31,120.12,3723.72
